disno.,total_deaths,no._injured,no._affected,no._homeless,total_affected,magnitude,total_damage_000_us$,"total_damage,_adjusted_000_us$"
2009-0544-COD,0.0,0.0,5000.0,0.0,5000.0,190.0,0.0,0.0
2009-0545-UGA,9.0,0.0,176.0,0.0,176.0,190.0,0.0,0.0
2009-0546-COD,29.0,0.0,100.0,0.0,100.0,190.0,0.0,0.0
2009-0547-MWI,1.0,15.0,0.0,15000.0,15015.0,5.9,0.0,0.0
2009-0548-TUR,19.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0549-KEN,24.0,0.0,193.0,0.0,193.0,190.0,0.0,0.0
2009-0550-AGO,0.0,0.0,0.0,4650.0,4650.0,190.0,0.0,0.0
2009-0551-LKA,3.0,0.0,300000.0,0.0,300000.0,15650.0,0.0,0.0
2009-0552-NGA,23.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0553-VUT,0.0,0.0,400.0,0.0,400.0,190.0,0.0,0.0
2009-0554-FJI,2.0,0.0,3845.0,0.0,3845.0,100.0,13300.0,18890.0
2009-0555-PAN,0.0,0.0,4248.0,0.0,4248.0,190.0,0.0,0.0
2009-0557-HND,7.0,0.0,11771.0,0.0,11771.0,190.0,0.0,0.0
2009-0560-BRA,0.0,0.0,680000.0,0.0,680000.0,190.0,0.0,0.0
2009-0561-MEX,10.0,14.0,13000.0,0.0,13014.0,190.0,0.0,0.0
2009-0562-SLV,7.0,0.0,4598.0,0.0,4598.0,190.0,0.0,0.0
2009-0563-NIC,8.0,0.0,2050.0,0.0,2050.0,190.0,0.0,0.0
2009-0564-PER,0.0,0.0,14151.0,0.0,14151.0,190.0,0.0,0.0
2009-0564-PRY,8.0,0.0,24.0,0.0,24.0,1500000.0,0.0,0.0
2009-0565-DOM,25.0,0.0,3270.0,0.0,3270.0,190.0,0.0,0.0
2009-0568-LBN,44.0,0.0,39.0,0.0,39.0,190.0,0.0,0.0
2009-0569-PER,59.0,25.0,1128.0,0.0,1153.0,190.0,0.0,0.0
2009-0570-NGA,55.0,35.0,0.0,0.0,35.0,190.0,0.0,0.0
2009-0571-AUT,2.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0571-DEU,14.0,0.0,0.0,0.0,0.0,-33.6,0.0,0.0
2009-0571-FRA,2.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0
2009-0571-GBR,3.0,47.0,0.0,0.0,47.0,190.0,0.0,0.0
2009-0571-ITA,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0
2009-0571-POL,298.0,0.0,0.0,0.0,0.0,-35.0,0.0,0.0
2009-0571-ROU,11.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0
2009-0571-UKR,27.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0
2009-0573-MWI,3.0,171.0,0.0,5550.0,5721.0,6.0,0.0,0.0
2009-0574-PHL,0.0,0.0,47137.0,0.0,47137.0,190.0,0.0,0.0
2009-0576-KEN,26.0,0.0,205.0,0.0,205.0,190.0,0.0,0.0
2009-0577-KOR,17.0,14.0,0.0,0.0,14.0,190.0,0.0,0.0
2009-0578-PHL,27.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0579-PHL,50.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0581-NGA,18.0,22.0,0.0,0.0,22.0,190.0,0.0,0.0
2009-0582-PER,40.0,10.0,0.0,0.0,10.0,190.0,0.0,0.0
2009-0583-IND,45.0,12.0,0.0,0.0,12.0,190.0,0.0,0.0
2009-0584-CHN,12.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0585-CHN,11.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0586-ARG,2.0,0.0,3510.0,0.0,3510.0,190.0,0.0,0.0
2009-0587-PER,18.0,20.0,0.0,0.0,20.0,190.0,0.0,0.0
2009-0589-AUS,0.0,0.0,200.0,0.0,200.0,149300.0,0.0,0.0
2009-0590-MAR,5.0,20.0,7500.0,0.0,7520.0,157500.0,0.0,0.0
2009-0591-TZA,18.0,0.0,50000.0,0.0,50000.0,167300.0,0.0,0.0
2009-0594-MEX,0.0,0.0,41687.0,0.0,41687.0,190.0,0.0,0.0
2009-0595-BGD,135.0,0.0,50000.0,0.0,50000.0,-6.0,0.0,0.0
2009-0595-IND,100.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0
2009-0595-NPL,18.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0597-KEN,40.0,0.0,91350.0,0.0,91350.0,190.0,0.0,0.0
2009-0598-BGD,20.0,50.0,0.0,0.0,50.0,190.0,0.0,0.0
2009-0599-USA,19.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0600-BRA,74.0,0.0,1000.0,0.0,1000.0,190.0,145000.0,205940.0
2009-0601-USA,1.0,2.0,0.0,0.0,2.0,128.0,2000000.0,2840552.0
2009-0603-USA,1.0,0.0,0.0,0.0,0.0,190.0,1000000.0,1420276.0
2009-0604-USA,7.0,0.0,0.0,0.0,0.0,190.0,850000.0,1207234.0
2009-0605-ZAF,1.0,0.0,0.0,0.0,0.0,190.0,15000.0,21304.0
2009-0606-PHL,14.0,10.0,221412.0,0.0,221422.0,190.0,2888.0,4102.0
2009-0607-MNE,0.0,0.0,450.0,0.0,450.0,190.0,0.0,0.0
2009-0608-NPL,30.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0609-IND,20.0,0.0,0.0,0.0,0.0,190.0,300000.0,426083.0
2009-0610-MYS,0.0,0.0,9082.0,0.0,9082.0,9062.0,0.0,0.0
2009-0611-VNM,17.0,0.0,40000.0,0.0,40000.0,47600.0,0.0,0.0
2009-0612-LAO,10.0,0.0,0.0,0.0,0.0,24950.0,0.0,0.0
2009-0613-CHN,20.0,38.0,0.0,0.0,38.0,201100.0,33000.0,46869.0
2009-0614-MEX,11.0,0.0,0.0,0.0,0.0,51610.0,0.0,0.0
2009-0615-AUS,7.0,0.0,9000.0,0.0,9000.0,190.0,150000.0,213041.0
2009-0616-AUS,347.0,2000.0,0.0,0.0,2000.0,48.8,0.0,0.0
2009-0617-DZA,13.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0619-CAN,2.0,0.0,0.0,0.0,0.0,190.0,500000.0,710138.0
2009-0621-CHN,9.0,0.0,0.0,0.0,0.0,190.0,7000.0,9942.0
2009-0622-NGA,31.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0628-CPV,3.0,0.0,150.0,0.0,150.0,190.0,0.0,0.0
2009-0629-GRC,12.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
2009-0631-ALB,0.0,0.0,6600.0,0.0,6600.0,190.0,0.0,0.0
2009-0632-MNG,5.0,7.0,769106.0,0.0,769113.0,-50.0,62000.0,88057.0
2009-0633-BWA,0.0,0.0,400.0,0.0,400.0,190.0,0.0,0.0
2009-0634-MDG,0.0,0.0,702.0,0.0,702.0,190.0,0.0,0.0
2009-0636-CHN,16.0,0.0,0.0,0.0,0.0,190.0,281000.0,399097.0
2009-0637-COL,30.0,7.0,0.0,0.0,7.0,190.0,0.0,0.0
2009-0638-IND,52.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0
